College Name,State,College Type,College Size,College Setting,Acceptance Rate,% Financial Need Met,% Students of Color,Fly-in Program,Virtual Tour,Virtual Info Session,CollegeGreenlight Profile,QuestBridge Partner School,Colleges That Change Lives,Early Action Deadline,Early Action II Deadline,Early Decision Deadline,Early Decision II Deadline,Regular Decision Deadline,Application Type,Test Optional Details,Undocumented Students Info
Tufts University,MA,Private,"Medium (2,000 - 15,000)",Suburban,15%,100%,47%,https://admissions.tufts.edu/voices/voices-home/,https://www.youvisit.com/tour/tufts,https://ugrad.admissions.tufts.edu/portal/virtual-visit,https://www.collegegreenlight.com/colleges/Tufts-University,https://www.questbridge.org/college-partners/tufts-university,,,,11/1/2020,,1/1/2021,"Coalition Application,Common Application",https://admissions.tufts.edu/apply/first-year-students/sat-and-act-tests/,https://admissions.tufts.edu/apply/undocumented-students/
Tulane University,LA,Private,"Medium (2,000 - 15,000)",Urban,13%,94%,29%,https://admission.tulane.edu/student-life/diversity/multicultural-access-programs,https://admission.tulane.edu/virtualtour,https://apply.tulane.edu/portal/campustours,https://www.collegegreenlight.com/colleges/tulane-university-of-louisiana,,,11/15/2020,,11/1/2020,,1/15/2021,"School Specific Application,Common Application","https://news.tulane.edu/pr/tulane-university-will-not-require-standardized-tests-2020-21-applicants#:~:text=Tulane%20University%20will%20not%20require%20students%20to%20submit%20SAT%20or,Tulane%20University's%202021%20entering%20class.&text=Going%20test%2Doptional%20is%20one,needs%20of%20our%20prospective%20students.%E2%80%9D","https://admission.tulane.edu/international/undocumented-students/aid#:~:text=Undocumented%20students%20are%20eligible%20for,not%20eligible%20for%20further%20aid.&text=To%20apply%2C%20students%20must%20submit,and%20all%20necessary%20supporting%20documents."
United States Merchant Marine Academy,NY,Public,"Small (<2,000)",Urban,16%,,25%,,https://www.usmma.edu/about/visiting-usmma,https://www.usmma.edu/admissions/admissions-visits,https://www.collegegreenlight.com/colleges/United-States-Merchant-Marine-Academy,,,,,,,2/1/2021,School Specific Application,"https://www.usmma.edu/admissions/4-college-entrance-exams#:~:text=The%20Academy%20does%20not%20accept,of%20the%20SAT%20or%20ACT.&text=SAT%20scores%20should%20be%20forwarded,the%20Academy's%20ACT%20Code%3A%202974.",
University of California - Berkeley,CA,Public,"Extra Large (>25,000)",Urban,17%,83%,74%,,https://visit.berkeley.edu/,https://visit.berkeley.edu/virtual-engagements/,https://www.cappex.com/colleges/uc-berkeley,,,,,,,11/30/2020,School Specific Application,https://www.universityofcalifornia.edu/press-room/university-california-board-regents-approves-changes-standardized-testing-requirement,https://undocu.berkeley.edu/
University of California - Los Angeles,CA,Public,"Extra Large (>25,000)",Urban,12%,82%,74%,,https://www.ucla.edu/visit#,https://connect.admission.ucla.edu/portal/virtualpresentations,https://www.cappex.com/colleges/ucla,,,,,,,11/30/2020,School Specific Application,https://www.universityofcalifornia.edu/press-room/university-california-board-regents-approves-changes-standardized-testing-requirement,https://www.usp.ucla.edu/
University of Chicago,IL,Private,"Medium (2,000 - 15,000)",Urban,6%,100%,63%,,https://collegeadmissions.uchicago.edu/visit/virtual-visits,https://collegeadmissions.uchicago.edu/visit/virtual-visits,https://www.cappex.com/colleges/university-of-chicago,https://www.questbridge.org/college-partners/university-of-chicago,,11/2/2022,5/1/2023,11/4/2023,11/15/2023,1/4/2021,"Common Application,Coalition Application","https://collegeadmissions.uchicago.edu/contact/frequently-asked-questions#:~:text=UChicago%20is%20test%2Doptional%2C%20which,international%20applicants%2C%20and%20transfer%20students.",https://inclusion.uchicago.edu/studentsupport/undocumented-dacamented/
University of Michigan - Ann Arbor,MI,Public,"Extra Large (>25,000)",Urban,23%,90%,43%,,https://www.youtube.com/watch?v=jXO60o4HkYE&feature=youtu.be,https://enrollmentconnect.umich.edu/register/?id=d21c4f37-5a62-40a9-aeb4-e89ddaa30a05,https://www.collegegreenlight.com/colleges/University-of-Michigan-Ann-Arbor,,,11/1/2020,,,,2/1/2021,"Common Application,Coalition Application",,https://admissions.umich.edu/undoc-students
University of North Carolina at Chapel Hill,NC,Public,"Large (15,000 - 25,000)",Suburban,23%,100%,41%,,https://admissions.unc.edu/visit/,https://admissions.unc.edu/visit/touring-carolina/,https://www.collegegreenlight.com/colleges/University-of-North-Carolina-at-Chapel-Hill,,,10/15/2020,,,,1/15/2021,"Common Application,Coalition Application",,"http://undocucarolina.unc.edu/funding/#:~:text=North%20Carolina%20does%20not%20currently,ineligible%20for%20federal%20financial%20aid."
University of Notre Dame,IN,Private,"Medium (2,000 - 15,000)",Suburban,16%,100%,19%,,https://www.youtube.com/watch?v=02BIpDPdfJE,https://enrollment.nd.edu/portal/virtual-info-sessions,https://www.collegegreenlight.com/colleges/University-of-Notre-Dame,https://www.questbridge.org/college-partners/university-of-notre-dame,,11/1/2020,,,,1/1/2021,"Common Application,Coalition Application","https://admissions.nd.edu/apply/resources-for/international-applicants/application-information/#:~:text=The%20University%20of%20Notre%20Dame,January%201%20for%20Regular%20Decision.",https://studentenrichment.nd.edu/resources/undocumented-and-daca-students/
University of Pennsylvania,PA,Private,"Medium (2,000 - 15,000)",Urban,8%,100%,61%,https://admissions.upenn.edu/penn-early-exploration-program-0,https://admissions.upenn.edu/virtual-tour,https://admissions.upenn.edu/admissions-and-financial-aid/visit-penn,https://www.collegegreenlight.com/colleges/University-of-Pennsylvania,https://www.questbridge.org/college-partners/university-of-pennsylvania,,,,11/1/2020,,1/5/2021,"Common Application,Coalition Application","https://admissions.upenn.edu/admissions-and-financial-aid/what-penn-looks-for/testing#:~:text=In%20response%20to%20COVID%2D19,the%202020%2D21%20application%20cycle.&text=Applicants%20who%20do%20not%20submit,disadvantage%20in%20the%20admissions%20process.",https://careerservices.upenn.edu/channels/daca-and-undocumented-students/
