College Name,State,College Type,College Size,College Setting,Acceptance Rate,% Financial Need Met,% Students of Color,Fly-in Program,Virtual Tour,Virtual Info Session,CollegeGreenlight Profile,QuestBridge Partner School,Colleges That Change Lives,Early Action Deadline,Early Action II Deadline,Early Decision Deadline,Early Decision II Deadline,Regular Decision Deadline,Application Type,Test Optional Details,Undocumented Students Info
Trinity University,TX,Private,"Medium (2,000 - 15,000)",Urban,29%,98%,44%,,www.youvisit.com/tour/trinity,https://admissions.trinity.edu/portal/virtualinfo,https://www.collegegreenlight.com/colleges/Trinity-University,,,11/1/2020,,11/1/2020,,1/15/2021,"Coalition Application,Common Application","https://www.trincoll.edu/admissions/undergraduate-admissions/application-process/#:~:text=Standardized%20Tests,for%20admission%2C%20including%20transfer%20applicants.",https://topscollegesuccess.com/undocumented-friendly-colleges/
Union College,NY,Private,"Medium (2,000 - 15,000)",Urban,43%,100%,32%,www.union.edu/admissions/getting-know-u-weekend,www.union.edu/admissions/virtual-tour,https://www.union.edu/admissions/visit/tours,https://www.collegegreenlight.com/colleges/Union-College-NY-1580925941210,,,11/1/2020,,11/1/2020,,1/15/2021,"Common Application,Coalition Application","https://www.union.edu/admissions/apply/test-policy#:~:text=Testing%20is%20optional%20for%20all,for%20those%20who%20are%20homeschooled).&text=In%20a%20typical%20enrolled%20class,students%20did%20not%20submit%20testing.",https://www.union.edu/admissions/apply/international
University of California - Davis,CA,Public,"Extra Large (>25,000)",Suburban,39%,82%,76%,,https://www.ucdavis.edu/about/visit/campus-virtual-tour/,https://ua.ucdavis.edu/portal/admissionpresentation,https://www.cappex.com/colleges/university-of-california-davis,,,,,,,11/30/2020,School Specific Application,https://www.universityofcalifornia.edu/press-room/university-california-board-regents-approves-changes-standardized-testing-requirement,https://undocumented.ucdavis.edu/
University of California - Irvine,CA,Public,"Extra Large (>25,000)",Suburban,27%,85%,87%,,https://www.youvisit.com/tour/uci?pl=v,https://apply.admissions.uci.edu/portal/virtual-experience,https://www.cappex.com/colleges/university-of-california-irvine,,,,,,,11/30/2020,School Specific Application,https://www.universityofcalifornia.edu/press-room/university-california-board-regents-approves-changes-standardized-testing-requirement,https://dream.uci.edu/
University of California - San Diego,CA,Public,"Extra Large (>25,000)",Suburban,32%,85%,79%,,https://admissions.ucsd.edu/visit/virtual-tour.html,https://admissions.ucsd.edu/visit/,https://www.cappex.com/colleges/university-of-california-san-diego,,,,,,,11/30/2020,School Specific Application,https://www.universityofcalifornia.edu/press-room/university-california-board-regents-approves-changes-standardized-testing-requirement,https://uss.ucsd.edu/
University of California - Santa Barbara,CA,Public,"Large (15,000 - 25,000)",Suburban,29%,100%,69%,,http://admissions.sa.ucsb.edu/visit-ucsb/virtual-tours,,https://www.cappex.com/colleges/university-of-california-santa-barbara,,,,,,,11/30/2020,School Specific Application,https://www.universityofcalifornia.edu/press-room/university-california-board-regents-approves-changes-standardized-testing-requirement,http://www.sa.ucsb.edu/dreamscholars/home
University of Central Florida,FL,Public,"Extra Large (>25,000)",Suburban,44%,75%,53%,,https://www.youtube.com/watch?v=qQnBem3t7fY&feature=youtu.be,https://www.ucf.edu/admissions/undergraduate/live-virtual-sessions/,https://www.cappex.com/colleges/ucf,,,,,,,5/1/2021,"Common Application,School Specific Application",,https://www.ucf.edu/financial-aid/apply/daca/
University of Connecticut,CT,Public,"Large (15,000 - 25,000)",Suburban,49%,59%,44%,,https://admissions.uconn.edu/virtual-experiences,https://admissions.uconn.edu/virtual-experiences,https://www.cappex.com/colleges/university-of-connecticut,,,,,,,1/15/2023,"Common Application,Coalition Application",https://admissions.uconn.edu/apply/first-year/instructions,https://admissions.uconn.edu/undocumented-students
University of Florida,FL,Public,"Extra Large (>25,000)",Suburban,37%,99%,47%,,https://admissions.ufl.edu/visit/,https://admissions.ufl.edu/visit/,https://www.cappex.com/colleges/university-of-florida,,,,,,,3/1/2023,"Common Application,Coalition Application",,https://www.sfa.ufl.edu/process/additional-information/undocumented-students/
University of Georgia,GA,Public,"Extra Large (>25,000)",Suburban,46%,79%,31%,,https://visit.uga.edu/tours/,https://visit.uga.edu/tours/,https://www.cappex.com/colleges/university-of-georgia,,,10/15/2020,,,,1/1/2021,"Common Application,Coalition Application,School Specific Application",,
University of Maryland - College Park,MD,Public,"Extra Large (>25,000)",Urban,44%,63%,51%,,https://www.umd.edu/virtual-tour,https://admissions.umd.edu/visit/admitted-student-open-house/virtual-admission-sessions,https://www.collegegreenlight.com/colleges/University-of-Maryland-College-Park,,,11/1/2020,,,,1/20/2021,Coalition Application,,https://thestamp.umd.edu/Engagement/Undocumented
University of Miami,FL,Private,"Medium (2,000 - 15,000)",Suburban,27%,99%,59%,,www.youvisit.com/tour/miami?pl=vLearn,https://admissions.miami.edu/undergraduate/student-life/visit/virtual-infosession/index.html,https://www.cappex.com/colleges/university-of-miami,,,11/1/2020,,11/1/2020,1/1/2021,1/1/2021,Common Application,https://admissions.miami.edu/undergraduate/application-process/admission-requirements/test-optional-admissions/index.html,https://admissions.miami.edu/undergraduate/financial-aid/scholarships/daca/index.html
University of New Mexico - Honors,NM,"Public,Honors College","Large (15,000 - 25,000)",Urban,49%,,69%,,https://campustour.unm.edu/,,,,,,,,,4/15/2021,,,
University of North Carolina School of the Arts,NC,Public,"Small (<2,000)",Suburban,29%,66%,26%,,https://www.uncsa.edu/admissions/visit-meet-connect/index.aspx,https://admissions.uncsa.edu/portal/info_sessions,https://www.cappex.com/colleges/university-of-north-carolina-school-of-the-arts,,,,,,,3/15/2022,School Specific Application,,
University of Richmond,VA,Private,"Medium (2,000 - 15,000)",Suburban,28%,100%,42%,https://admissions.richmond.edu/visit/,admissions.richmond.edu/visit/,https://connect.richmond.edu/portal/virtual-campus-visit,https://www.collegegreenlight.com/colleges/University-of-Richmond,,,11/1/2020,,11/1/2020,1/1/2021,1/1/2021,"Common Application,Coalition Application",https://admissions.richmond.edu/process/index.html,https://admissions.richmond.edu/process/international/undocumented-daca.html
